"Project","Study","Ord_Occ","Event_Num","Cast_ID","Date_Time_UTC","Date_Time_PST","Lat_Dec","Lon_Dec","Sta_ID","Line","Sta","Depth","Pressure","Temp1","Temp2","TempAve","Salt1","Salt1_Corr","Salt2","Salt2_Corr","SaltAve_Corr","Ox1","Ox1_CruiseCorr","Ox1_StaCorr","Ox2","Ox2_CruiseCorr","Ox2_StaCorr","OxAve_StaCorr","FluorV","EstChl_CruiseCorr","EstChl_StaCorr","ISUSV","EstNO3_CruiseCorr","EstNO3_StaCorr","SigThetaTS1","SigThetaTS2","BAT","XMiss","SPAR","PAR","PoT1","PoT2","DynHt","SVA","OxSat1","OxSat2","BTL_Depth","BTL_Temp","SaltB","OxB","Chl.a","Phaeo","NO3","NO2","NH4","PO4","SIL"
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:04","28-Jan-2012 04:32:04",32.84862,-117.53097,"093.3 030.0",93.3,30,2,2.014,14.6283,14.6289,14.6286,33.377,33.3765,33.3756,33.3761,33.3763,5.87601,6.0603,6.1429,5.89517,6.108,6.14,6.1415,0.1794,0.8431,0.8797,0.453,5.2873,0.578,24.8009,24.7997,0.8048,81.7752,0,1e-12,14.628,14.6286,0.0088,313.787,101.44835,101.77928,2,14.61,33.377,6.05,0.78,".24",0,0,0.7,0.33,2.2
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:28","28-Jan-2012 04:32:28",32.8487,-117.53095,"093.3 030.0",93.3,30,3,3.021,14.6186,14.6194,14.619,33.3773,33.3768,33.3759,33.3764,33.3766,5.80796,5.9899,6.071,5.85872,6.0701,6.1015,6.0863,0.1606,0.7384,0.7586,0.453,5.2873,0.578,24.8032,24.802,0.8043,81.7848,0,1e-12,14.6182,14.619,0.0183,313.593,100.25424,101.13042,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:32","28-Jan-2012 04:32:32",32.84871,-117.53095,"093.3 030.0",93.3,30,4,4.028,14.6223,14.6229,14.6226,33.3772,33.3767,33.3759,33.3764,33.3766,5.85676,6.0404,6.1225,5.86882,6.0806,6.1122,6.1174,0.1883,0.8938,0.9389,0.4479,5.1375,0.423,24.8024,24.8013,0.8065,81.7402,0,1e-12,14.6217,14.6224,0.0216,313.699,101.10391,101.31206,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:35","28-Jan-2012 04:32:35",32.84872,-117.53096,"093.3 030.0",93.3,30,5,5.036,14.6324,14.632,14.6322,33.3771,33.3766,33.3759,33.3764,33.3765,5.89902,6.0841,6.1672,5.88845,6.101,6.1329,6.1501,0.1529,0.6965,0.7106,0.4506,5.2168,0.505,24.8002,24.7993,0.8033,81.8049,0,1e-12,14.6316,14.6312,0.0248,313.943,101.85389,101.67146,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:36","28-Jan-2012 04:32:36",32.84872,-117.53094,"093.3 030.0",93.3,30,6,6.043,14.6326,14.6338,14.6332,33.377,33.3765,33.3756,33.3761,33.3763,5.88369,6.0683,6.151,5.88793,6.1005,6.1323,6.1417,0.1561,0.7138,0.7304,0.45,5.1992,0.487,24.8001,24.7988,0.8039,81.7938,0,1e-12,14.6317,14.633,0.0279,313.982,101.58981,101.66301,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:39","28-Jan-2012 04:32:39",32.84872,-117.53094,"093.3 030.0",93.3,30,7,7.05,14.6333,14.6335,14.6334,33.3769,33.3764,33.3757,33.3762,33.3763,5.87292,6.0571,6.1396,5.89149,6.1042,6.1361,6.1379,0.1621,0.7466,0.768,0.4453,5.0612,0.344,24.7999,24.7989,0.8036,81.7999,0,1e-12,14.6323,14.6325,0.0311,314.026,101.40528,101.72576,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:41","28-Jan-2012 04:32:41",32.84874,-117.53094,"093.3 030.0",93.3,30,8,8.057,14.6331,14.6335,14.6333,33.3769,33.3764,33.3756,33.3761,33.3763,5.8856,6.0702,6.153,5.88116,6.0935,6.1252,6.1391,0.1556,0.7111,0.7273,0.4493,5.1786,0.465,24.8,24.7989,0.8065,81.7406,0,1e-12,14.6319,14.6323,0.0343,314.052,101.62367,101.54699,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:43","28-Jan-2012 04:32:43",32.84874,-117.53094,"093.3 030.0",93.3,30,9,9.064,14.6346,14.6354,14.635,33.3768,33.3763,33.3756,33.3761,33.3762,5.85458,6.0381,6.1202,5.85662,6.0679,6.0993,6.1098,0.1554,0.71,0.7261,0.4493,5.1786,0.465,24.7996,24.7985,0.804,81.7917,0,1e-12,14.6332,14.634,0.0374,314.117,101.09099,101.12617,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:45","28-Jan-2012 04:32:45",32.84874,-117.53094,"093.3 030.0",93.3,30,10,10.071,14.6339,14.6346,14.6343,33.3769,33.3764,33.3756,33.3761,33.3763,5.85131,6.0348,6.1168,5.84919,6.0602,6.0915,6.1042,0.1548,0.7068,0.7224,0.4443,5.0318,0.313,24.7999,24.7987,0.8037,81.7966,0,1e-12,14.6325,14.6332,0.0406,314.12,101.03326,100.99664,10,14.62,33.378,6.05,0.74,".26",0,0,0,0.33,2.2
"CalCOFI","1202NH",5,45,"1202_005d","28-Jan-2012 12:32:47","28-Jan-2012 04:32:47",32.84875,-117.53094,"093.3 030.0",93.3,30,11,11.078,14.6344,14.635,14.6347,33.377,33.3765,33.3756,33.3761,33.3763,5.83962,6.0227,6.1044,5.86133,6.0728,6.1043,6.1044,0.1658,0.767,0.7915,0.4397,4.8968,0.173,24.7999,24.7987,0.804,81.7917,0,1e-12,14.6327,14.6334,0.0438,314.152,100.8323,101.20714,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
