"Project","Study","Ord_Occ","Event_Num","Cast_ID","Date_Time_UTC","Date_Time_PST","Lat_Dec","Lon_Dec","Sta_ID","Line","Sta","Depth","Pressure","Temp1","Temp2","TempAve","Salt1","Salt1_Corr","Salt2","Salt2_Corr","SaltAve_Corr","Ox1","Ox1_CruiseCorr","Ox1_StaCorr","Ox2","Ox2_CruiseCorr","Ox2_StaCorr","OxAve_StaCorr","FluorV","EstChl_CruiseCorr","EstChl_StaCorr","ISUSV","EstNO3_CruiseCorr","EstNO3_StaCorr","SigThetaTS1","SigThetaTS2","BAT","XMiss","SPAR","PAR","PoT1","PoT2","DynHt","SVA","OxSat1","OxSat2","BTL_Depth","BTL_Temp","SaltB","OxB","Chl.a","Phaeo","NO3","NO2","NH4","PO4","SIL"
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:36:20","27-Jan-2012 23:36:20",32.91489,-117.39411,"093.3 028.0",93.3,28,2,2.014,14.6394,14.6396,14.6395,33.3707,33.3702,33.3693,33.3698,33.37,5.89253,6.0774,6.1513,5.90832,6.1217,6.1552,6.1533,0.148,0.6701,0.7869,0.4155,4.1862,0,24.7937,24.7926,0.8043,81.7838,0,1e-12,14.6391,14.6393,0.0041,314.473,101.75245,102.02507,2,14.57,33.363,6.09,0.73,".26",0,0,0,0.32,2
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:08","27-Jan-2012 23:37:08",32.91514,-117.3941,"093.3 028.0",93.3,28,3,3.021,14.6414,14.6414,14.6414,33.3708,33.3703,33.3697,33.3702,33.3703,5.91539,6.1011,6.1752,5.91661,6.1303,6.1639,6.1696,0.1527,0.6954,0.8268,0.4177,4.2508,0,24.7933,24.7925,0.8025,81.821,0,1e-12,14.6409,14.6409,0.0243,314.535,102.15105,102.17212,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:26","27-Jan-2012 23:37:26",32.91521,-117.39412,"093.3 028.0",93.3,28,4,4.028,14.6449,14.6447,14.6448,33.3711,33.3706,33.3701,33.3706,33.3706,5.91403,6.0997,6.1738,5.88422,6.0966,6.1299,6.1519,0.1357,0.6051,0.6867,0.4139,4.1392,0,24.7929,24.7921,0.8002,81.8706,0,1e-12,14.6444,14.6442,0.0344,314.609,102.1351,101.62034,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:29","27-Jan-2012 23:37:29",32.91523,-117.39411,"093.3 028.0",93.3,28,5,5.036,14.6444,14.6444,14.6444,33.371,33.3705,33.3699,33.3704,33.3705,5.91265,6.0982,6.1724,5.88808,6.1007,6.134,6.1532,0.1544,0.7046,0.8415,0.4139,4.1392,0,24.793,24.7921,0.8022,81.8291,0,1e-12,14.6437,14.6436,0.0375,314.63,102.11015,101.68593,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:32","27-Jan-2012 23:37:32",32.91524,-117.39412,"093.3 028.0",93.3,28,6,6.043,14.6426,14.6435,14.6431,33.3707,33.3702,33.3697,33.3702,33.3702,5.91303,6.0986,6.1728,5.90082,6.1139,6.1474,6.1601,0.1348,0.6004,0.6796,0.4139,4.1392,0,24.7931,24.7922,0.8046,81.7797,0,1e-12,14.6418,14.6427,0.0407,314.645,102.11299,101.90211,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:33","27-Jan-2012 23:37:33",32.91524,-117.39412,"093.3 028.0",93.3,28,7,7.05,14.639,14.6404,14.6397,33.37,33.3695,33.3692,33.3697,33.3696,5.90401,6.0893,6.1633,5.90367,6.1169,6.1504,6.1569,0.138,0.6171,0.705,0.412,4.0834,0,24.7934,24.7924,0.8052,81.7668,0,1e-12,14.6379,14.6394,0.0439,314.65,101.94927,101.9433,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:35","27-Jan-2012 23:37:35",32.91525,-117.39412,"093.3 028.0",93.3,28,8,8.057,14.6396,14.64,14.6398,33.37,33.3695,33.369,33.3695,33.3695,5.8895,6.0743,6.1481,5.90514,6.1184,6.1519,6.15,0.1407,0.6313,0.7267,0.4138,4.1363,0,24.7933,24.7925,0.8022,81.8292,0,1e-12,14.6385,14.6389,0.047,314.687,101.7,101.97014,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:37","27-Jan-2012 23:37:37",32.91526,-117.39412,"093.3 028.0",93.3,28,9,9.064,14.639,14.6404,14.6397,33.3701,33.3696,33.3692,33.3697,33.3697,5.88661,6.0713,6.1451,5.89966,6.1127,6.1461,6.1456,0.1549,0.7073,0.8458,0.4151,4.1745,0,24.7935,24.7925,0.7993,81.8882,0,1e-12,14.6377,14.6391,0.0502,314.695,101.64902,101.87437,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:40","27-Jan-2012 23:37:40",32.91528,-117.39412,"093.3 028.0",93.3,28,10,10.071,14.631,14.6321,14.6316,33.3694,33.3689,33.3682,33.3687,33.3688,5.88709,6.0718,6.1456,5.88353,6.0959,6.1292,6.1374,0.1402,0.6287,0.7227,0.4155,4.1862,0,24.7947,24.7935,0.8007,81.8596,0,1e-12,14.6295,14.6307,0.0534,314.611,101.6404,101.57896,10,14.57,33.362,6.08,0.81,".30",0,0,0,0.32,2
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:41","27-Jan-2012 23:37:41",32.91528,-117.39413,"093.3 028.0",93.3,28,11,11.078,14.5906,14.5944,14.5925,33.3673,33.3668,33.3666,33.3671,33.367,5.87348,6.0577,6.1313,5.90749,6.1209,6.1544,6.1429,0.1487,0.6739,0.7928,0.4166,4.2185,0,24.8017,24.8004,0.7993,81.8877,0,1e-12,14.589,14.5928,0.0565,313.973,101.32203,101.90862,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",4,32,"1202_004d","28-Jan-2012 07:37:43","27-Jan-2012 23:37:43",32.91528,-117.39414,"093.3 028.0",93.3,28,12,12.086,14.5423,14.5675,14.5549,33.3657,33.3652,33.3659,33.3664,33.3658,5.86224,6.0461,6.1195,5.88684,6.0994,6.1327,6.1261,0.168,0.7792,0.9629,0.4205,4.333,0.018,24.8108,24.8056,0.8018,81.8362,0,1e-12,14.5406,14.5657,0.0597,313.137,101.02884,101.45298,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
