lon,lat
-121.849147,36.908089
-121.847093,36.906036
-121.846506,36.904569
-121.84504,36.903102
-121.84504,36.901929
-121.844453,36.901636
-121.84416,36.900756
-121.842693,36.898995
-121.8424,36.898115
-121.840933,36.896355
-121.840933,36.895475
-121.840346,36.894888
-121.840053,36.893715
-121.837999,36.891955
-121.837412,36.890488
-121.834479,36.887555
-121.834186,36.886381
-121.833599,36.885794
-121.833012,36.884328
-121.831839,36.883448
-121.831545,36.881981
-121.830372,36.880807
-121.830079,36.879047
-121.828905,36.877874
-121.828319,36.876994
-121.828319,36.8767
-121.827732,36.87582
-121.827438,36.87494
-121.825972,36.87318
-121.825385,36.871713
-121.824212,36.87054
-121.823331,36.86966
-121.823038,36.868487
-121.822451,36.868193
-121.821865,36.868487
-121.821865,36.867313
-121.820985,36.865553
-121.820398,36.864966
-121.819225,36.862326
-121.818638,36.861739
-121.818344,36.860859
-121.817758,36.859393
-121.816878,36.858512
-121.816878,36.857632
-121.815704,36.855579
-121.815118,36.854699
-121.814824,36.853525
-121.813651,36.852645
-121.812477,36.852352
-121.811597,36.851765
-121.810424,36.851765
-121.809837,36.851472
-121.80925,36.850592
-121.809544,36.850005
-121.810424,36.849125
-121.810424,36.847952
-121.80925,36.845898
-121.808664,36.845018
-121.808077,36.843551
-121.806904,36.841791
-121.806904,36.840618
-121.806024,36.839738
-121.805144,36.837978
-121.805144,36.836511
-121.803383,36.832404
-121.802503,36.830644
-121.80133,36.82947
-121.801037,36.82859
-121.800743,36.827417
-121.800156,36.826537
-121.800156,36.82595
-121.79869,36.82331
-121.798396,36.821843
-121.79605,36.819203
-121.795463,36.817736
-121.793703,36.815683
-121.793409,36.814216
-121.792529,36.812456
-121.792529,36.811576
-121.791943,36.810696
-121.791943,36.808642
-121.791943,36.808642
-121.791356,36.807762
-121.790182,36.807469
-121.790182,36.806589
-121.790476,36.805709
-121.791062,36.804535
-121.791943,36.801895
-121.792236,36.800722
-121.792823,36.799548
-121.792823,36.798081
-121.793409,36.797788
-121.793703,36.796908
-121.793996,36.795441
-121.794583,36.794855
-121.794583,36.793388
-121.795463,36.791921
-121.795463,36.789868
-121.796343,36.788694
-121.79605,36.787814
-121.797223,36.786054
-121.797223,36.783707
-121.79781,36.78312
-121.79781,36.781654
-121.79869,36.780774
-121.79869,36.779307
-121.79957,36.778133
-121.79957,36.775787
-121.800156,36.774906
-121.80045,36.772266
-121.80133,36.771386
-121.801037,36.770213
-121.801917,36.768746
-121.801917,36.766986
-121.802797,36.765519
-121.802797,36.760825
-121.803677,36.759065
-121.805437,36.757599
-121.805437,36.757012
-121.805144,36.755545
-121.803383,36.754078
-121.803383,36.753492
-121.803677,36.752612
-121.804557,36.751731
-121.805144,36.752318
-121.80573,36.752612
-121.807197,36.752612
-121.808077,36.751731
-121.807784,36.72621
-121.807784,36.72621
-121.807784,36.725036
-121.808664,36.724156
-121.808664,36.722689
-121.808664,36.720049
-121.808957,36.716822
-121.808664,36.715062
-121.809544,36.713889
-121.80925,36.713595
-121.808664,36.712715
-121.808957,36.712129
-121.809544,36.711542
-121.80925,36.708608
-121.810424,36.707435
-121.810424,36.702448
-121.811011,36.701568
-121.811011,36.700101
-121.811011,36.697754
-121.811304,36.697461
-121.811891,36.696581
-121.812184,36.694527
-121.812771,36.693941
