year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,12,1,0:02:00,32.867,-117.257,-3,Scripps Pier,2.64,16.7828,4.088,32.7941
2012,12,1,0:06:00,32.867,-117.257,-3,Scripps Pier,2.567,16.8035,4.067,32.7935
2012,12,1,0:10:00,32.867,-117.257,-3,Scripps Pier,2.528,16.7972,4.109,32.7774
2012,12,1,0:14:00,32.867,-117.257,-3,Scripps Pier,2.502,16.7611,4.078,32.7778
2012,12,1,0:18:00,32.867,-117.257,-3,Scripps Pier,2.531,16.7628,4.095,32.7657
2012,12,1,0:22:00,32.867,-117.257,-3,Scripps Pier,2.481,16.7795,4.122,32.7415
2012,12,1,0:26:00,32.867,-117.257,-3,Scripps Pier,2.598,16.7822,4.036,32.7433
2012,12,1,0:30:00,32.867,-117.257,-3,Scripps Pier,2.532,16.7796,4.08,32.7805
2012,12,1,0:34:00,32.867,-117.257,-3,Scripps Pier,2.532,16.793,4.161,32.7743
2012,12,1,0:38:00,32.867,-117.257,-3,Scripps Pier,2.576,16.7874,4.111,32.7817
2012,12,1,0:42:00,32.867,-117.257,-3,Scripps Pier,2.637,16.7961,4.036,32.7813
2012,12,1,0:46:00,32.867,-117.257,-3,Scripps Pier,2.56,16.8015,4.053,32.7691
2012,12,1,0:50:00,32.867,-117.257,-3,Scripps Pier,2.557,16.8068,3.921,32.7614
2012,12,1,0:54:00,32.867,-117.257,-3,Scripps Pier,2.504,16.8138,4.023,32.744
2012,12,1,0:58:00,32.867,-117.257,-3,Scripps Pier,2.522,16.8089,4.041,32.7557
2012,12,1,1:02:00,32.867,-117.257,-3,Scripps Pier,2.565,16.8091,4.136,32.754
2012,12,1,1:06:00,32.867,-117.257,-3,Scripps Pier,2.587,16.8147,4.089,32.7491
2012,12,1,1:10:00,32.867,-117.257,-3,Scripps Pier,2.624,16.8163,4.126,32.7775
2012,12,1,1:14:00,32.867,-117.257,-3,Scripps Pier,2.566,16.8245,4.05,32.7896
2012,12,1,1:18:00,32.867,-117.257,-3,Scripps Pier,2.466,16.8358,4.159,32.7775
2012,12,1,1:22:00,32.867,-117.257,-3,Scripps Pier,2.386,16.85,4.066,32.7583
2012,12,1,1:26:00,32.867,-117.257,-3,Scripps Pier,2.48,16.8367,4.067,32.7444
2012,12,1,1:30:00,32.867,-117.257,-3,Scripps Pier,2.484,16.8157,4.158,32.7429
2012,12,1,1:34:00,32.867,-117.257,-3,Scripps Pier,2.481,16.8009,4.119,32.7433
2012,12,1,1:38:00,32.867,-117.257,-3,Scripps Pier,2.464,16.8146,4.15,32.7426
2012,12,1,1:42:00,32.867,-117.257,-3,Scripps Pier,2.505,16.8069,4.237,32.7442
2012,12,1,1:46:00,32.867,-117.257,-3,Scripps Pier,2.461,16.8078,4.227,32.7443
2012,12,1,1:50:00,32.867,-117.257,-3,Scripps Pier,2.558,16.8151,4.234,32.7547
2012,12,1,1:54:00,32.867,-117.257,-3,Scripps Pier,2.44,16.8192,4.164,32.7724
2012,12,1,1:58:00,32.867,-117.257,-3,Scripps Pier,2.351,16.8231,4.178,32.7638
2012,12,1,2:02:00,32.867,-117.257,-3,Scripps Pier,2.432,16.8213,4.264,32.7681
2012,12,1,2:06:00,32.867,-117.257,-3,Scripps Pier,2.355,16.8252,4.253,32.7506
2012,12,1,2:10:00,32.867,-117.257,-3,Scripps Pier,2.418,16.8281,4.366,32.7461
2012,12,1,2:14:00,32.867,-117.257,-3,Scripps Pier,2.386,16.8228,4.392,32.7614
2012,12,1,2:18:00,32.867,-117.257,-3,Scripps Pier,2.397,16.8053,4.183,32.7907
2012,12,1,2:22:00,32.867,-117.257,-3,Scripps Pier,2.414,16.8115,4.444,32.7654
2012,12,1,2:26:00,32.867,-117.257,-3,Scripps Pier,2.403,16.8122,4.273,32.7644
2012,12,1,2:30:00,32.867,-117.257,-3,Scripps Pier,2.397,16.8124,4.349,32.749
2012,12,1,2:34:00,32.867,-117.257,-3,Scripps Pier,2.363,16.8013,4.435,32.7583
2012,12,1,2:38:00,32.867,-117.257,-3,Scripps Pier,2.416,16.7934,4.462,32.7517
2012,12,1,2:42:00,32.867,-117.257,-3,Scripps Pier,2.367,16.7773,4.512,32.7558
2012,12,1,2:46:00,32.867,-117.257,-3,Scripps Pier,2.453,16.7625,4.404,32.7664
2012,12,1,2:50:00,32.867,-117.257,-3,Scripps Pier,2.433,16.756,4.513,32.7641
2012,12,1,2:54:00,32.867,-117.257,-3,Scripps Pier,2.36,16.7852,4.494,32.7509
2012,12,1,2:58:00,32.867,-117.257,-3,Scripps Pier,2.375,16.7698,4.446,32.7549
2012,12,1,3:02:00,32.867,-117.257,-3,Scripps Pier,2.467,16.782,4.523,32.7297
2012,12,1,3:06:00,32.867,-117.257,-3,Scripps Pier,2.365,16.8454,4.573,32.7081
2012,12,1,3:10:00,32.867,-117.257,-3,Scripps Pier,2.309,16.8289,4.624,32.7321
2012,12,1,3:14:00,32.867,-117.257,-3,Scripps Pier,2.295,16.8224,4.546,32.7277
2012,12,1,3:18:00,32.867,-117.257,-3,Scripps Pier,2.355,16.8185,4.428,32.738
2012,12,1,3:22:00,32.867,-117.257,-3,Scripps Pier,2.301,16.8158,4.554,32.7352
2012,12,1,3:26:00,32.867,-117.257,-3,Scripps Pier,2.284,16.8081,4.665,32.7378
2012,12,1,3:30:00,32.867,-117.257,-3,Scripps Pier,2.347,16.7522,4.611,32.7514
2012,12,1,3:34:00,32.867,-117.257,-3,Scripps Pier,2.484,16.7431,4.736,32.7549
2012,12,1,3:38:00,32.867,-117.257,-3,Scripps Pier,2.381,16.7554,4.818,32.751
2012,12,1,3:42:00,32.867,-117.257,-3,Scripps Pier,2.364,16.7851,4.759,32.7476
2012,12,1,3:46:00,32.867,-117.257,-3,Scripps Pier,2.318,16.7906,4.763,32.7505
2012,12,1,3:50:00,32.867,-117.257,-3,Scripps Pier,2.35,16.7536,4.771,32.7469
2012,12,1,3:54:00,32.867,-117.257,-3,Scripps Pier,2.341,16.7539,4.738,32.7507
2012,12,1,3:58:00,32.867,-117.257,-3,Scripps Pier,2.327,16.769,4.736,32.7352
2012,12,1,4:02:00,32.867,-117.257,-3,Scripps Pier,2.295,16.7611,4.729,32.7569
2012,12,1,4:06:00,32.867,-117.257,-3,Scripps Pier,2.302,16.786,4.792,32.7551
2012,12,1,4:10:00,32.867,-117.257,-3,Scripps Pier,2.33,16.7899,4.842,32.7486
2012,12,1,4:14:00,32.867,-117.257,-3,Scripps Pier,2.26,16.7666,4.907,32.7592
2012,12,1,4:18:00,32.867,-117.257,-3,Scripps Pier,2.277,16.7721,4.806,32.7555
2012,12,1,4:22:00,32.867,-117.257,-3,Scripps Pier,2.281,16.771,4.923,32.7594
2012,12,1,4:26:00,32.867,-117.257,-3,Scripps Pier,2.494,16.7554,4.796,32.7366
2012,12,1,4:30:00,32.867,-117.257,-3,Scripps Pier,2.291,16.7295,5.026,32.7573
2012,12,1,4:34:00,32.867,-117.257,-3,Scripps Pier,2.269,16.7162,4.89,32.7642
2012,12,1,4:38:00,32.867,-117.257,-3,Scripps Pier,2.274,16.7202,4.821,32.7613
2012,12,1,4:42:00,32.867,-117.257,-3,Scripps Pier,2.336,16.7242,4.805,32.7573
2012,12,1,4:46:00,32.867,-117.257,-3,Scripps Pier,2.262,16.7331,5.05,32.7554
2012,12,1,4:50:00,32.867,-117.257,-3,Scripps Pier,2.35,16.7411,4.924,32.7565
2012,12,1,4:54:00,32.867,-117.257,-3,Scripps Pier,2.418,16.7378,4.949,32.7553
2012,12,1,4:58:00,32.867,-117.257,-3,Scripps Pier,2.302,16.7325,4.902,32.7596
2012,12,1,5:02:00,32.867,-117.257,-3,Scripps Pier,2.251,16.7351,5.083,32.7555
2012,12,1,5:06:00,32.867,-117.257,-3,Scripps Pier,2.269,16.7387,5.031,32.7518
2012,12,1,5:10:00,32.867,-117.257,-3,Scripps Pier,2.319,16.7437,4.951,32.7611
2012,12,1,5:14:00,32.867,-117.257,-3,Scripps Pier,2.246,16.7546,5.126,32.7609
2012,12,1,5:18:00,32.867,-117.257,-3,Scripps Pier,2.217,16.7345,5.185,32.7595
2012,12,1,5:22:00,32.867,-117.257,-3,Scripps Pier,2.236,16.7527,5.107,32.7647
2012,12,1,5:26:00,32.867,-117.257,-3,Scripps Pier,2.254,16.7602,5.15,32.7554
2012,12,1,5:30:00,32.867,-117.257,-3,Scripps Pier,2.231,16.7458,5.14,32.7567
2012,12,1,5:34:00,32.867,-117.257,-3,Scripps Pier,2.343,16.7259,5.055,32.7653
2012,12,1,5:38:00,32.867,-117.257,-3,Scripps Pier,2.353,16.7096,5.097,32.7697
2012,12,1,5:42:00,32.867,-117.257,-3,Scripps Pier,2.319,16.7047,5.035,32.7595
2012,12,1,5:46:00,32.867,-117.257,-3,Scripps Pier,2.286,16.706,5.208,32.7671
2012,12,1,5:50:00,32.867,-117.257,-3,Scripps Pier,2.244,16.707,5.351,32.7623
2012,12,1,5:54:00,32.867,-117.257,-3,Scripps Pier,2.232,16.7029,5.152,32.7602
2012,12,1,5:58:00,32.867,-117.257,-3,Scripps Pier,2.237,16.6861,5.039,32.7684
2012,12,1,6:02:00,32.867,-117.257,-3,Scripps Pier,2.225,16.6765,5.198,32.7673
2012,12,1,6:06:00,32.867,-117.257,-3,Scripps Pier,2.229,16.6774,5.014,32.7704
2012,12,1,6:10:00,32.867,-117.257,-3,Scripps Pier,2.233,16.631,5.245,32.7687
2012,12,1,6:14:00,32.867,-117.257,-3,Scripps Pier,2.307,16.6482,5.219,32.7778
2012,12,1,6:18:00,32.867,-117.257,-3,Scripps Pier,2.293,16.671,5.117,32.7783
2012,12,1,6:22:00,32.867,-117.257,-3,Scripps Pier,2.257,16.673,5.117,32.7586
